,,,,player_name,,place,round,,,course_par,score,putting_sg,chipping_sg,approach_sg,driving_sg,tee-green_sg,overall_sg,driving_dist,driving_acc,gir,scrambling,rough_prox,fairway_prox
,,,,"Leishman, Marc",,T5,2,,,72,67,0.982,0.406,3.214,0.727,4.347,5.33,300,0.714,0.833,0.857,37.328,24.221
,,,,"Leishman, Marc",,T5,3,,,72,70,0.505,0.165,1.677,0.078,1.921,2.426,306.9,0.5,0.778,0.714,41.347,38.201
,,,,"Leishman, Marc",,T5,4,,,72,73,-0.242,1.075,0.456,-1.66,-0.128,-0.37,287.9,0.429,0.5,0.625,37.584,31.817
,,,,"Rahm, Jon",,T5,1,,,72,72,-0.937,3.239,-1.682,1.903,3.46,2.523,305.7,0.786,0.611,0.778,54.907,37.678
,,,,"Rahm, Jon",,T5,2,,,72,72,-0.632,1.179,-1.615,1.398,0.962,0.33,310.2,0.714,0.611,0.714,39.233,30.948
,,,,"Rahm, Jon",,T5,3,,,72,72,0.269,-1.449,-0.646,2.252,0.157,0.426,310,0.857,0.778,0.5,39.597,32.141
,,,,"Rahm, Jon",,T5,4,,,72,66,1.638,0.568,3.155,1.269,4.992,6.63,314.8,0.643,0.833,1,40.175,20.108
,,,,"Rose, Justin",,7,1,,,72,65,4.885,-0.254,4.007,0.886,4.638,9.523,291.5,0.786,0.833,0.714,62.174,27.966
,,,,"Rose, Justin",,7,2,,,72,72,1.05,0.142,-0.566,-0.295,-0.72,0.33,297.4,0.643,0.833,0.4,37.016,47.571
,,,,"Rose, Justin",,7,3,,,72,72,2.593,0.274,-1.208,-1.232,-2.167,0.426,286.7,0.571,0.556,0.7,68.293,40.881
,,,,"Rose, Justin",,7,4,,,72,74,-2.481,0.87,0.336,-0.096,1.111,-1.37,286.2,0.643,0.722,0.333,53.053,30.34
